hour,sex,count,radian
0,FEMALE,5362,0.0
0,MALE,4615,0.0
1,FEMALE,5471,0.2617993877991494
1,MALE,4781,0.2617993877991494
2,FEMALE,5404,0.5235987755982988
2,MALE,4705,0.5235987755982988
3,FEMALE,5595,0.7853981633974483
3,MALE,4859,0.7853981633974483
4,FEMALE,5591,1.0471975511965976
4,MALE,4832,1.0471975511965976
5,FEMALE,5585,1.308996938995747
5,MALE,4838,1.308996938995747
6,FEMALE,5181,1.5707963267948966
6,MALE,4454,1.5707963267948966
7,FEMALE,5063,1.832595714594046
7,MALE,4462,1.832595714594046
8,FEMALE,4949,2.0943951023931953
8,MALE,4361,2.0943951023931953
9,FEMALE,4976,2.356194490192345
9,MALE,4428,2.356194490192345
10,FEMALE,4807,2.617993877991494
10,MALE,4244,2.617993877991494
11,FEMALE,4838,2.8797932657906435
11,MALE,4227,2.8797932657906435
12,FEMALE,4752,3.141592653589793
12,MALE,4083,3.141592653589793
13,FEMALE,4742,3.4033920413889422
13,MALE,4082,3.4033920413889422
14,FEMALE,4619,3.665191429188092
14,MALE,3966,3.665191429188092
15,FEMALE,4675,3.926990816987241
15,MALE,4064,3.926990816987241
16,FEMALE,4637,4.1887902047863905
16,MALE,4031,4.1887902047863905
17,FEMALE,4963,4.45058959258554
17,MALE,4214,4.45058959258554
18,FEMALE,5501,4.71238898038469
18,MALE,4634,4.71238898038469
19,FEMALE,5984,4.974188368183839
19,MALE,5027,4.974188368183839
20,FEMALE,5742,5.235987755982988
20,MALE,4769,5.235987755982988
21,FEMALE,5560,5.497787143782138
21,MALE,4743,5.497787143782138
22,FEMALE,5376,5.759586531581287
22,MALE,4560,5.759586531581287
23,FEMALE,5445,6.021385919380436
23,MALE,4698,6.021385919380436
